"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100u","","","","",""
"C2,C3,C5,C7,C8,C9,C12","7","100n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4,C6,C10,C11","4","100u","","","","Capacitor_SMD:CP_Elec_8x10",""
"D1","1","PTVS12VZ1USK","","","","Diode_SMD:Nexperia_DSN1608-2_1.6x0.8mm","https://assets.nexperia.com/documents/data-sheet/PTVS12VZ1USK.pdf"
"D2","1","POWER LED","","","","LED_SMD:LED_0805_2012Metric",""
"D3","1","MOTOR LED","","","","LED_SMD:LED_0805_2012Metric",""
"D4","1","FAULT LED","","","","LED_SMD:LED_0805_2012Metric",""
"F1","1","MF-R500","","","","Fuse:Fuse_1206_3216Metric",""
"J1,J3","2","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J2","1","Screw_Terminal_01x06","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"Q1","1","IRF4905","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c"
"R1,R3,R4,R11","4","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R2","1","100k","","","","Resistor_SMD:R_0805_2012Metric",""
"R5,R6,R7","3","330","","","","Resistor_SMD:R_0805_2012Metric",""
"R8,R9","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric",""
"R10","1","0.1","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_TL3342",""
"TH1","1","Thermistor_NTC","","","","Resistor_SMD:R_0805_2012Metric",""
"U1","1","","","","","${BUCK_CONVERTER}:LM2596_MODULE_BOARD",""
"U2","1","ESP32-WROOM-32","","","","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf"
"U3","1","TB6612FNG","","","","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","https://toshiba.semicon-storage.com/us/product/linear/motordriver/detail.TB6612FNG.html"
"U4","1","INA219AxD","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf"
